iter	RMSE
0	0.7284238295
1	0.7250066252
2	0.7219649778
3	0.7180086633
4	0.7146419705
5	0.7108532058
6	0.7087223176
7	0.7063620458
8	0.7042848595
9	0.7017413626
10	0.6991119627
11	0.6972040174
12	0.69498578
13	0.6929979466
14	0.6913886577
15	0.6893767391
16	0.6880193306
17	0.6866479547
18	0.6851732413
19	0.6838558408
20	0.6825956744
21	0.6810991479
22	0.6798006998
23	0.678723578
24	0.6780342256
25	0.6767812739
26	0.6758638522
27	0.6752586194
28	0.6745456493
29	0.6738958806
30	0.6731811554
31	0.672484509
32	0.6718418327
33	0.6710596723
34	0.6703072852
35	0.6696138765
36	0.6685347574
37	0.6680803079
38	0.6676561004
39	0.6669586208
40	0.6664373541
41	0.6657011296
42	0.6651048428
43	0.6644318632
44	0.6637863025
45	0.6631690125
46	0.6623219554
47	0.6617237081
48	0.6612883732
49	0.6605861818
50	0.6598757085
51	0.6591392556
52	0.6587053735
53	0.6578416171
54	0.657620089
55	0.6571214345
56	0.6566592776
57	0.6563580931
58	0.6559688182
59	0.6555646324
60	0.6551291851
61	0.6547898162
62	0.6543336647
63	0.6540078368
64	0.6536108314
65	0.6533025312
66	0.6527801813
67	0.6520723194
68	0.6516219306
69	0.6513438704
70	0.6510248863
71	0.6506135027
72	0.6504363142
73	0.6501510873
74	0.6496631341
75	0.6492122047
76	0.6487975673
77	0.6483435177
78	0.6480161675
79	0.6479306895
80	0.6475903044
81	0.6472672543
82	0.6469579978
83	0.6465144704
84	0.6461299849
85	0.6458330989
86	0.6456402732
87	0.6453147819
88	0.6450398593
89	0.6445629553
90	0.6442800672
91	0.643945968
92	0.6433911426
93	0.6431605625
94	0.6428927462
95	0.6427244519
96	0.6424383414
97	0.6420977794
98	0.6418079267
99	0.6415188017
100	0.6412173258
101	0.6409418407
102	0.6407091018
103	0.6404525556
104	0.6402492362
105	0.6399817428
106	0.6398137225
107	0.6394580556
108	0.6392736785
109	0.6390405657
110	0.6387839889
111	0.6385002826
112	0.6382091539
113	0.6378956612
114	0.6377575998
115	0.6375388705
116	0.6373659305
117	0.6371226166
118	0.6369400286
119	0.6366913383
120	0.6363910869
121	0.6360865167
122	0.6358587685
123	0.6355371655
124	0.6352881998
125	0.6350675662
126	0.6349167099
127	0.6346862692
128	0.6343545881
129	0.634232554
130	0.6341473053
131	0.6339542458
132	0.6337903542
133	0.6334910886
134	0.6331354715
135	0.6330158399
136	0.6328199361
137	0.632471467
138	0.6322871812
139	0.6318521455
140	0.6314673929
141	0.6312110292
142	0.6310007824
143	0.6307753011
144	0.6305597719
