iter	Passed	Remaining
0	10	10024
1	17	8645
2	24	8096
3	32	8052
4	40	7977
5	48	7958
6	56	8030
7	65	8063
8	71	7913
9	79	7827
10	85	7718
11	92	7608
12	98	7479
13	106	7534
14	113	7449
15	121	7452
16	128	7418
17	135	7378
18	141	7304
19	148	7259
20	154	7183
21	160	7137
22	167	7116
23	173	7075
24	179	7005
25	189	7085
26	196	7078
27	203	7057
28	213	7161
29	221	7171
30	228	7145
31	250	7582
32	269	7896
33	284	8081
34	291	8037
35	297	7974
36	304	7916
37	311	7892
38	318	7856
39	325	7804
40	332	7766
41	338	7713
42	344	7673
43	350	7614
44	356	7570
45	365	7581
46	374	7585
47	382	7582
48	390	7583
49	398	7572
50	406	7569
51	414	7556
52	422	7548
53	429	7529
54	437	7514
55	445	7509
56	456	7550
57	464	7539
58	472	7533
59	479	7515
60	486	7490
61	493	7467
62	499	7434
63	507	7420
64	513	7392
65	519	7356
66	526	7329
67	533	7314
68	542	7313
69	550	7312
70	557	7297
71	564	7273
72	569	7235
73	575	7204
74	582	7186
75	591	7188
76	598	7178
77	605	7157
78	611	7128
79	614	7061
80	621	7053
81	627	7023
82	632	6989
83	638	6967
84	645	6949
85	651	6920
86	657	6896
87	665	6895
88	673	6890
89	680	6882
90	687	6871
91	695	6862
92	702	6855
93	711	6859
94	719	6851
95	725	6835
96	732	6820
97	738	6794
98	744	6777
99	751	6765
100	758	6755
101	765	6738
102	771	6717
103	778	6703
104	787	6711
105	794	6701
106	802	6701
107	810	6690
108	817	6683
109	824	6672
110	831	6658
111	838	6648
112	845	6634
113	852	6622
114	860	6621
115	866	6602
116	873	6589
117	880	6577
118	886	6565
119	892	6547
120	898	6526
121	906	6523
122	913	6510
123	920	6504
124	928	6497
125	934	6484
126	940	6464
127	946	6448
128	953	6437
129	959	6424
130	965	6406
131	971	6390
132	983	6409
133	991	6406
134	998	6400
135	1006	6396
136	1015	6397
137	1022	6387
138	1029	6375
139	1036	6365
140	1045	6372
141	1055	6377
142	1066	6389
143	1074	6389
144	1082	6385
145	1090	6380
146	1100	6388
147	1110	6395
148	1118	6388
149	1125	6378
150	1133	6371
151	1141	6366
152	1149	6362
153	1158	6362
154	1165	6356
155	1173	6347
156	1181	6345
157	1196	6375
158	1211	6408
159	1222	6416
160	1231	6417
161	1242	6428
162	1251	6428
