iter	CrossEntropy	F1	Accuracy
0	0.6609116096	0.787206823	0.7788447333
1	0.6353240817	0.7921935988	0.8033682966
2	0.6149371656	0.7926237464	0.8106071798
3	0.597085424	0.7946572256	0.8114935736
4	0.5795346259	0.7921824104	0.8114935736
5	0.5615349019	0.795848873	0.8140050229
6	0.5441885452	0.8012242268	0.8176983306
7	0.5301491206	0.8013654096	0.8194711183
8	0.517986689	0.8008419689	0.8182892599
9	0.5071005958	0.8016836652	0.8190279214
10	0.4971220032	0.8017478556	0.8190279214
11	0.4888164481	0.8042601259	0.8208007091
12	0.4822690929	0.8049605411	0.8210961737
13	0.4750801103	0.8070006423	0.8224257645
14	0.4676371244	0.806763285	0.8227212291
15	0.4606922536	0.8080450523	0.8237553553
16	0.4545738429	0.8085311097	0.823607623
17	0.4485607856	0.8098591549	0.8244940168
18	0.4441944228	0.8097982709	0.8244940168
19	0.4406224072	0.8092337288	0.8241985522
20	0.435793708	0.8100496079	0.8246417492
21	0.4326055864	0.8098591549	0.8244940168
22	0.4283922785	0.8113207547	0.8256758753
23	0.424610357	0.8117007673	0.8259713399
24	0.4209076148	0.8129094104	0.8270054661
25	0.4179448921	0.8137975088	0.8277441276
26	0.4151134472	0.8144247646	0.8281873246
27	0.4121608644	0.8148148148	0.8286305215
28	0.4096539598	0.8162679426	0.82981238
29	0.4070686299	0.8168340507	0.8302555769
30	0.4045420232	0.8166454082	0.8301078446
31	0.4026225466	0.8167756339	0.8302555769
32	0.4005080806	0.817180265	0.8308465061
33	0.3984872091	0.8185734801	0.8320283646
34	0.3966235635	0.8185007974	0.8318806323
35	0.3951200543	0.8183269476	0.8318806323
36	0.3940894031	0.8193424832	0.8327670261
37	0.3923332951	0.8200223179	0.8332102231
38	0.3909171838	0.8203000319	0.83365342
39	0.3896578774	0.8208074039	0.8340966169
40	0.3885218663	0.8211836019	0.8343920815
41	0.3873165922	0.8210526316	0.8342443492
42	0.3856277863	0.8207336523	0.8339488846
43	0.3844879538	0.8212976247	0.8343920815
44	0.3835473314	0.8211096939	0.8342443492
45	0.3818706729	0.8216905901	0.8348352785
46	0.3808393123	0.8227040816	0.8357216723
47	0.3800243806	0.8221230475	0.8351307431
48	0.379103604	0.823379519	0.8361648693
49	0.3776154619	0.8229299363	0.8357216723
50	0.3769479461	0.8228553239	0.83557394
51	0.3760760685	0.8245390973	0.8369035308
52	0.3751507351	0.8241094148	0.8366080662
53	0.3745476251	0.8241094148	0.8366080662
54	0.3740621681	0.8248012719	0.8371989954
55	0.3731603705	0.8253059927	0.8376421923
56	0.3725761096	0.8254372019	0.8377899247
57	0.3718603585	0.8258105531	0.8380853893
58	0.3709187256	0.8254926891	0.8377899247
59	0.3703521967	0.8258105531	0.8380853893
60	0.3695206983	0.8257142857	0.8377899247
61	0.3687580458	0.8258453723	0.837937657
62	0.3681224156	0.825769597	0.8377899247
63	0.3675479462	0.826031746	0.8380853893
64	0.3670649382	0.8267979044	0.8388240508
65	0.3665096495	0.826142132	0.8380853893
66	0.3660481215	0.826962728	0.8388240508
67	0.365375721	0.8273347075	0.8391195154
68	0.3649174469	0.8274659055	0.8392672477
69	0.364431634	0.8274659055	0.8392672477
70	0.3641759673	0.8270724362	0.8388240508
71	0.3636531445	0.8273347075	0.8391195154
72	0.3629437249	0.8282636248	0.839858177
73	0.3624219291	0.8285804816	0.8401536416
74	0.3621092824	0.8292141952	0.8407445708
75	0.3616056593	0.8293996515	0.8408923031
76	0.3611313611	0.8293223559	0.8407445708
77	0.3604756492	0.830170778	0.8413355001
78	0.3599173167	0.8299319728	0.8411877678
79	0.359545527	0.830278129	0.8413355001
80	0.3587682486	0.8308567815	0.8419264293
81	0.3583944548	0.8310949597	0.8420741616
82	0.3578185418	0.8311483178	0.8420741616
83	0.3573129882	0.8313329122	0.8422218939
84	0.3568773873	0.8312796209	0.8422218939
85	0.3566756948	0.8315955766	0.8425173585
86	0.3564232163	0.8314109654	0.8423696262
87	0.3559863478	0.8316487682	0.8425173585
88	0.3556212865	0.8313329122	0.8422218939
89	0.3552228642	0.8314642237	0.8423696262
90	0.3547298585	0.8317269711	0.8426650909
91	0.3542842552	0.8315423515	0.8425173585
92	0.3539894895	0.8313576735	0.8423696262
93	0.3537373188	0.8312796209	0.8422218939
94	0.3535435412	0.8313329122	0.8422218939
95	0.352855506	0.8318332544	0.8426650909
96	0.3526887026	0.8322274882	0.8431082878
97	0.3519501928	0.8320176823	0.8428128232
98	0.3515060289	0.8322804801	0.8431082878
99	0.3513674503	0.8322804801	0.8431082878
100	0.3511672348	0.8322804801	0.8431082878
101	0.350988249	0.8328593997	0.843699217
102	0.3506992912	0.8322804801	0.8431082878
103	0.3504199008	0.8326491948	0.8434037524
104	0.3501794476	0.8327278471	0.8435514847
105	0.3499420723	0.833043753	0.8438469493
106	0.3494730811	0.8323863636	0.8431082878
107	0.3492647533	0.8324119412	0.8432560201
108	0.3488227111	0.8323334386	0.8431082878
109	0.3485246715	0.8326491948	0.8434037524
110	0.3482787894	0.8330964788	0.8438469493
111	0.3480573677	0.8330964788	0.8438469493
112	0.3478393626	0.833228048	0.8439946816
113	0.3475020992	0.833543904	0.8442901463
114	0.3470817502	0.8331753555	0.8439946816
115	0.3469247965	0.8331753555	0.8439946816
116	0.3467888402	0.8333596588	0.8441424139
