iter	Passed	Remaining
0	41	41623
1	74	37354
2	114	38050
3	151	37709
4	188	37514
5	224	37128
6	285	40499
7	326	40476
8	367	40513
9	409	40584
10	449	40395
11	490	40397
12	537	40803
13	577	40646
14	614	40365
15	653	40206
16	689	39853
17	726	39613
18	763	39442
19	802	39328
20	839	39131
21	877	39003
22	911	38722
23	950	38643
24	992	38715
25	1031	38648
26	1067	38468
27	1102	38270
28	1138	38107
29	1176	38028
30	1233	38562
31	1269	38391
32	1315	38538
33	1411	40111
34	1482	40874
35	1555	41650
36	1618	42129
37	1659	42002
38	1698	41858
39	1736	41684
40	1780	41638
41	1824	41623
42	1866	41534
43	1904	41389
44	1959	41577
45	1996	41404
46	2035	41267
47	2076	41178
48	2116	41081
49	2158	41015
50	2196	40866
51	2237	40782
52	2275	40661
53	2317	40591
54	2361	40569
55	2397	40408
56	2434	40274
57	2469	40110
58	2505	39966
59	2543	39847
60	2583	39767
61	2621	39663
62	2659	39555
63	2698	39460
64	2732	39312
65	2769	39197
66	2812	39166
67	2848	39036
68	2883	38911
69	2920	38803
70	2941	38491
71	2977	38378
72	3014	38277
73	3053	38206
74	3089	38102
75	3127	38025
76	3165	37940
77	3203	37869
78	3261	38024
79	3299	37941
80	3338	37874
81	3375	37784
82	3416	37751
83	3455	37683
84	3494	37612
85	3531	37531
86	3571	37483
87	3615	37474
88	3654	37410
89	3696	37373
90	3738	37341
91	3776	37276
92	3816	37224
93	3856	37170
94	3893	37091
95	3938	37083
96	3976	37021
97	4014	36951
98	4052	36886
99	4089	36806
100	4129	36754
101	4164	36665
102	4201	36586
103	4238	36520
104	4277	36456
105	4314	36386
106	4358	36377
107	4399	36340
108	4436	36263
109	4473	36192
110	4510	36127
111	4547	36055
112	4589	36026
113	4629	35977
114	4665	35905
115	4705	35858
116	4743	35797
117	4778	35715
118	4816	35657
119	4851	35574
120	4889	35520
121	4928	35470
122	4967	35416
123	5003	35348
124	5043	35303
125	5081	35249
126	5119	35191
127	5133	34970
128	5167	34887
129	5208	34859
130	5247	34809
131	5290	34787
132	5328	34732
133	5365	34674
134	5401	34608
135	5438	34547
136	5482	34535
137	5520	34482
138	5556	34416
139	5591	34348
140	5629	34295
141	5666	34240
142	5705	34191
143	5744	34147
144	5782	34094
145	5817	34029
146	5854	33969
147	5891	33918
148	5933	33888
149	5970	33834
150	6006	33771
151	6042	33710
152	6081	33664
153	6119	33617
154	6162	33596
155	6198	33538
156	6253	33575
157	6293	33538
158	6330	33486
159	6369	33439
160	6410	33408
161	6446	33345
162	6481	33284
163	6516	33219
164	6553	33166
165	6591	33114
166	6628	33065
167	6668	33023
168	6707	32981
169	6748	32948
170	6792	32930
171	6834	32901
172	6877	32877
173	6916	32833
174	6943	32732
175	6958	32577
176	6998	32541
177	7038	32504
178	7061	32387
179	7098	32339
180	7139	32303
181	7174	32247
182	7215	32211
183	7234	32083
184	7271	32035
185	7308	31983
186	7348	31949
187	7385	31898
188	7423	31853
189	7463	31816
190	7500	31768
191	7539	31728
192	7578	31689
193	7615	31639
194	7656	31605
195	7693	31557
196	7733	31521
197	7772	31482
198	7813	31452
199	7851	31405
